ensembl_id,gene_symbol,entrez_id,refseq_id
ENSG00000011405,PIK3C2A,5286,NM_001321378.2
ENSG00000011422,PLAUR,5329,NM_001005376.3
ENSG00000011426,ANLN,54443,NM_001284301.3
ENSG00000011451,WIZ,58525,NM_001330395.4
ENSG00000011454,RABGAP1,23637,NM_012197.4
ENSG00000011465,DCN,1634,NM_001920.5
ENSG00000011478,QPCTL,54814,NM_001163377.2
ENSG00000011485,PPP5C,5536,NM_001204284.2
ENSG00000011523,CEP68,23177,NM_001319100.2
ENSG00000011566,MAP4K3,8491,NM_001270425.2
ENSG00000011590,ZBTB32,27033,NM_001316902.2
ENSG00000011600,TYROBP,7305,NM_001173514.2
ENSG00000011638,TMEM159,57146,NM_001301769.2
ENSG00000011677,GABRA3,2556,NM_000808.4
ENSG00000012048,BRCA1,672,NM_001407571.1
ENSG00000012061,ERCC1,2067,NM_001166049.2
ENSG00000012124,CD22,933,NM_001185099.2
ENSG00000012171,SEMA3B,7869,NM_001005914.3
ENSG00000012174,MBTPS2,51360,NM_015884.4
ENSG00000012211,PRICKLE3,4007,NM_001307979.2
ENSG00000012223,LTF,4057,NM_001199149.2
ENSG00000012232,EXTL3,2137,NM_001437797.1
ENSG00000012504,NR1H4,9971,NM_001206977.2
ENSG00000012660,ELOVL5,60481,NM_001242828.2
ENSG00000012779,ALOX5,240,NM_000698.5
ENSG00000012817,KDM5D,8284,NM_001146705.2
ENSG00000012822,CALCOCO1,57658,NM_001143682.2
ENSG00000012963,UBR7,55148,NM_001100417.1
ENSG00000012983,MAP4K5,11183,NM_006575.6
ENSG00000013016,EHD3,30845,NM_014600.3
ENSG00000013275,PSMC4,5704,NM_006503.4
ENSG00000013288,MAN2B2,23324,NM_001292038.2
ENSG00000013293,SLC7A14,57709,NM_020949.3
ENSG00000013297,CLDN11,5010,NM_001185056.2
ENSG00000013306,SLC25A39,51629,NM_001143780.3
ENSG00000013364,MVP,9961,NM_001293204.1
ENSG00000013374,NUB1,51667,NM_001243351.2
ENSG00000013375,PGM3,5238,NM_001199917.2
ENSG00000013392,RWDD2A,112611,NM_001322335.2
ENSG00000013441,CLK1,1195,NM_001024646.1
ENSG00000013503,POLR3B,55703,NM_001160708.2
ENSG00000013523,ANGEL1,23357,NM_001370746.1
ENSG00000013561,RNF14,9604,NM_001201365.2
ENSG00000013563,DNASE1L1,1774,NM_001009932.3
ENSG00000013573,DDX11,1663,NM_001257144.2
ENSG00000013583,HEBP1,50865,NM_015987.5
ENSG00000013588,GPRC5A,9052,NM_003979.4
ENSG00000013619,MAMLD1,10046,NM_001177465.3
ENSG00000013725,CD6,923,NM_001254750.2
ENSG00000013810,TACC3,10460,NM_001410699.1
ENSG00000014123,UFL1,23376,NM_015323.5
ENSG00000014138,POLA2,23649,NM_001437761.1
ENSG00000014164,ZC3H3,23144,NM_015117.3
ENSG00000014216,CAPN1,823,NM_001198868.2
ENSG00000014257,ACPP,55,NM_001099.5
ENSG00000014641,MDH1,4190,NM_001199111.2
ENSG00000014824,SLC30A9,10463,NM_006345.4
ENSG00000014914,MTMR11,10903,NM_001145862.2
ENSG00000014919,COX15,1355,NM_001320974.2
ENSG00000015133,CCDC88C,440193,NM_001080414.4
ENSG00000015153,YAF2,10138,NM_001012424.1
ENSG00000015171,ZMYND11,10771,NM_001202464.3
ENSG00000015285,WAS,7454,NM_000377.3
ENSG00000015413,DPEP1,1800,NM_001128141.3
ENSG00000015475,BID,637,NM_001196.4
ENSG00000015479,MATR3,9782,NM_001194954.2
ENSG00000015520,NPC1L1,29881,NM_001101648.2
ENSG00000015532,XYLT2,64132,NM_022167.4
ENSG00000015568,RGPD5,84220,NM_005054.3
ENSG00000015592,STMN4,81551,NM_001283053.2
ENSG00000015676,NUDCD3,23386,NM_015332.4
ENSG00000016082,ISL1,3670,NM_002202.3
ENSG00000016391,CHDH,55349,NM_018397.5
ENSG00000016402,IL20RA,53832,NM_001278722.2
ENSG00000016490,CLCA1,1179,NM_001285.4
ENSG00000016602,CLCA4,22802,NM_012128.4
ENSG00000016864,GLT8D1,55830,NM_001010983.3
ENSG00000017260,ATP2C1,27032,NM_001001485.3
ENSG00000017373,SRCIN1,nan,nan
ENSG00000017427,IGF1,3479,NM_000618.5
ENSG00000017483,SLC38A5,92745,NM_033518.4
ENSG00000017621,MAGIX,nan,nan
ENSG00000017797,RALBP1,10928,NM_006788.4
ENSG00000018189,RUFY3,22902,NM_001037442.4
ENSG00000018236,CNTN1,1272,NM_001256063.2
ENSG00000018280,SLC11A1,6556,NM_000578.4
ENSG00000018408,WWTR1,25937,NM_001168278.3
ENSG00000018510,AGPS,8540,NM_003659.4
ENSG00000018607,ZNF806,nan,nan
ENSG00000018610,CXorf56,63932,NM_001170569.1
ENSG00000018625,ATP1A2,477,NM_000702.4
ENSG00000018699,TTC27,55622,NM_001193509.2
ENSG00000018869,ZNF582,147948,NM_001320371.4
ENSG00000019102,VSIG2,23584,NM_001329920.2
ENSG00000019144,PHLDB1,23187,NM_001144758.3
ENSG00000019169,MARCO,8685,NM_006770.4
ENSG00000019186,CYP24A1,1591,NM_000782.5
ENSG00000019485,PRDM11,56981,NM_001256695.2
ENSG00000019505,SYT13,57586,NM_001247987.2
ENSG00000019549,SNAI2,6591,NM_003068.5
ENSG00000019582,CD74,972,NM_001025158.3
ENSG00000019991,HGF,3082,NM_000601.6
ENSG00000019995,ZRANB1,54764,NM_017580.3
ENSG00000020129,NCDN,23154,NM_001014839.2
ENSG00000020181,GPR124,25960,NM_032777.10
ENSG00000020219,CCT8L1P,155100,NM_001029866.2
ENSG00000020256,ZFP64,55734,NM_001319146.2
ENSG00000020426,MNAT1,4331,NM_001177963.2
ENSG00000020577,SAMD4A,23034,NM_001161576.2
ENSG00000020633,RUNX3,864,NM_001031680.2
ENSG00000020922,MRE11A,4361,NM_001330347.2
ENSG00000021300,PLEKHB1,58473,NM_001130033.2
ENSG00000021355,SERPINB1,1992,NM_030666.4
